Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,File,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,,,Microsoft.EntityFrameworkCore.Design 6.0.4,,,,,"Microsoft.EntityFrameworkCore.Design, 6.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,File,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 6.0.4,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 6.0.4  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,File,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,,,Microsoft.AspNetCore.Authentication.OpenIdConnect 6.0.4,,,,,"Microsoft.AspNetCore.Authentication.OpenIdConnect, 6.0.4  Recommendation:  Remove Microsoft.AspNetCore.Authentication.OpenIdConnect, and replace with new package Microsoft.AspNetCore.Authentication.OpenIdConnect 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,File,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,,,Microsoft.Identity.Web 1.24.1,,,,,"Microsoft.Identity.Web, 1.24.1  Recommendation:  Move to Microsoft.Identity.Web.* latest. See https://aka.ms/IdWeb/LTS for details. Remove Microsoft.Identity.Web, and replace with new package Microsoft.Identity.Web, 4.7.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,File,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,,,Microsoft.Identity.Web.UI 1.24.1,,,,,"Microsoft.Identity.Web.UI, 1.24.1  Recommendation:  Move to Microsoft.Identity.Web.* latest. See https://aka.ms/IdWeb/LTS for details. Remove Microsoft.Identity.Web.UI, and replace with new package Microsoft.Identity.Web.UI, 4.7.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,File,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,File,AppOwnsDataAdmin\Services\PowerBiServiceApi.cs,85,6,T:System.Uri,,,,,"return new PowerBIClient(new Uri(urlPowerBiServiceApiRoot), tokenCredentials, ProfileId);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,File,AppOwnsDataAdmin\Services\PowerBiServiceApi.cs,85,6,M:System.Uri.#ctor(System.String),,,,,"return new PowerBIClient(new Uri(urlPowerBiServiceApiRoot), tokenCredentials, ProfileId);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,File,AppOwnsDataAdmin\Services\PowerBiServiceApi.cs,80,6,T:System.Uri,,,,,"return new PowerBIClient(new Uri(urlPowerBiServiceApiRoot), tokenCredentials);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,AppOwnsDataAdmin\AppOwnsDataAdmin.csproj,File,AppOwnsDataAdmin\Services\PowerBiServiceApi.cs,80,6,M:System.Uri.#ctor(System.String),,,,,"return new PowerBIClient(new Uri(urlPowerBiServiceApiRoot), tokenCredentials);"
